codigo,resolucao,tipo_margem,data_inicio,data_fim,margem_normal_comprovante,margem_normal_pct,margem_adicional_comprovante,margem_adicional_pct,margem_sustentabilidade_comprovante,margem_sustentabilidade_pct,ultima,ativa
84719012,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
84734070,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
84734090,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85071010,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85071090,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85176265,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85192000,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85234910,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85258913,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85258922,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85279990,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85299020,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85299090,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85311010,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85318000,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85409120,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85409190,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
85412120,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85412920,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85414123,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85414210,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85411032,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85413021,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85423320,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85423920,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85437013,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85437040,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
87012100,cics_7,conteudo_nacional,2024-12-26,2025-05-01,CFI,0.1,,,,,False,False
90065959,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
90261029,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
90269010,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
90273020,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
90303990,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
90308410,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
90318011,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
90318020,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
90328911,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
30043939,cics_7,tecnologia_nacional,2024-12-26,2025-05-01,MedNac,0.05,MedIFANac,0.1,,,False,False
84295121,cics_3,conteudo_nacional,2024-11-10,2024-11-10,CFI,0.1,,,,,True,False
84295211,cics_3,conteudo_nacional,2024-11-10,2024-11-10,CFI,0.1,,,,,True,False
84295212,cics_3,conteudo_nacional,2024-11-10,2024-11-10,CFI,0.1,,,,,True,False
84304920,cics_3,conteudo_nacional,2024-11-10,2024-11-10,CFI,0.1,,,,,True,False
84306919,cics_3,conteudo_nacional,2024-11-10,2024-11-10,CFI,0.1,,,,,True,False
85369030,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
85371020,cics_4,tecnologia_nacional,2024-11-11,2024-12-25,CFI ou PPB,0.1,portaria_DesIn,0.1,,,False,False
86039000,cics_1,conteudo_nacional,2024-09-01,2024-11-09,CFI,0.1,,,,,True,False
87011000,cics_3,conteudo_nacional,2024-11-10,2024-11-10,CFI,0.1,,,,,True,False
91012900,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
91019100,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
91081110,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
91081190,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
91082000,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
91089000,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
91112090,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
84719012,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
84734070,cics_8,tecnologia_nacional,2025-05-02,,CFI ou PPB,0.1,portaria_DesIn,0.1,,,True,True
