codigo_cadeia,cadeia,missao,nome_missao,prefixo_sh,tipo_match,cnae,desc_cnae,criterio,icp,missoes,secao_cnae,sh_correspondente
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8501,prefixo4,2710403,"Fabricação de motores elétricos, peças e acessórios",C3,0.2486465106589923,1 e 3,Indústria de Transformação,"8501, 8502, 8503"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8502,prefixo4,2710403,"Fabricação de motores elétricos, peças e acessórios",C3,0.2486465106589923,1 e 3,Indústria de Transformação,"8501, 8502, 8503"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8503,prefixo4,2710403,"Fabricação de motores elétricos, peças e acessórios",C3,0.2486465106589923,1 e 3,Indústria de Transformação,"8501, 8502, 8503"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8526,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.285890105757722,"1, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8532,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401371379730153,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 
8541, 8542"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8533,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401371379730153,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 
8541, 8542"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8534,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401371379730153,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 
8541, 8542"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8540,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401371379730153,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 
8541, 8542"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8541,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401371379730153,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 
8541, 8542"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8542,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401371379730153,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 
8541, 8542"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",9015,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.285890105757722,"1, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",9016,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.285890105757722,"1, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",9025,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.285890105757722,"1, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",9026,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.285890105757722,"1, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",9027,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.285890105757722,"1, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",9031,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.285890105757722,"1, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",9032,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.285890105757722,"1, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",88062100,ncm8,3041-5/00,Fabricação de aeronaves,C2,,1.6,Indústria de Transformação,"8806.21.00, 8806.22.00, 8806.23.00, 8806.24.00"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",88062200,ncm8,3041-5/00,Fabricação de aeronaves,C2,,1.6,Indústria de Transformação,"8806.21.00, 8806.22.00, 8806.23.00, 8806.24.00"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",88062300,ncm8,3041-5/00,Fabricação de aeronaves,C2,,1.6,Indústria de Transformação,"8806.21.00, 8806.22.00, 8806.23.00, 8806.24.00"
M1-C1a,Agricultura de precisão: Drones,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",88062400,ncm8,3041-5/00,Fabricação de aeronaves,C2,,1.6,Indústria de Transformação,"8806.21.00, 8806.22.00, 8806.23.00, 8806.24.00"
M1-C1b,Agricultura de precisão: Sensores,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8526,prefixo4,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",C2,1.286,"1, 3, 4 e 6",Indústria de Transformação,"8526, 9015, 9016, 9025, 9026, 9027, 9031, 9032"
M1-C1b,Agricultura de precisão: Sensores,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8532,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 8541, 8542"
M1-C1b,Agricultura de precisão: Sensores,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8533,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 8541, 8542"
M1-C1b,Agricultura de precisão: Sensores,1,"Cadeias agroindustriais sustentáveis e digitais para a segurança alimentar, nutricional e energética",8534,prefixo4,2610800,Fabricação de componentes eletrônicos,C2,1.401,"1, 3, 4, 5 e 6",Indústria de Transformação,"8532,8533, 8534, 8540, 8541, 8542"
