Codigo,Descricao,Data_Inicio,Data_Fim,Tipo_Ato_Ini,Numero_Ato_Ini,Ano_Ato_Ini
01,Animais vivos,01/04/2022,31/12/9999,Res Camex,272,2021
0101,"Cavalos, asininos e muares, vivos",01/04/2022,31/12/9999,Res Camex,272,2021
01012,- Cavalos:,01/04/2022,31/12/9999,Res Camex,272,2021
01012100,-- Reprodutores de raça pura,01/04/2022,31/12/9999,Res Camex,272,2021
01012900,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01013000,- Asininos,01/04/2022,31/12/9999,Res Camex,272,2021
01019000,- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0102,Animais vivos da espécie bovina,01/04/2022,31/12/9999,Res Camex,272,2021
01022,- Bovinos domésticos:,01/04/2022,31/12/9999,Res Camex,272,2021
010221,-- Reprodutores de raça pura,01/04/2022,31/12/9999,Res Camex,272,2021
01022110,Prenhes ou com cria ao pé,01/04/2022,31/12/9999,Res Camex,272,2021
01022190,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
010229,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0102291,Para reprodução,01/04/2022,31/12/9999,Res Camex,272,2021
01022911,Prenhes ou com cria ao pé,01/04/2022,31/12/9999,Res Camex,272,2021
01022919,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01022990,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01023,- Búfalos:,01/04/2022,31/12/9999,Res Camex,272,2021
010231,-- Reprodutores de raça pura,01/04/2022,31/12/9999,Res Camex,272,2021
01023110,Prenhes ou com cria ao pé,01/04/2022,31/12/9999,Res Camex,272,2021
01023190,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
010239,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0102391,Para reprodução,01/04/2022,31/12/9999,Res Camex,272,2021
01023911,Prenhes ou com cria ao pé,01/04/2022,31/12/9999,Res Camex,272,2021
01023919,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01023990,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01029000,- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0103,Animais vivos da espécie suína,01/04/2022,31/12/9999,Res Camex,272,2021
01031000,- Reprodutores de raça pura,01/04/2022,31/12/9999,Res Camex,272,2021
01039,- Outros:,01/04/2022,31/12/9999,Res Camex,272,2021
01039100,-- De peso inferior a 50 kg,01/04/2022,31/12/9999,Res Camex,272,2021
01039200,-- De peso igual ou superior a 50 kg,01/04/2022,31/12/9999,Res Camex,272,2021
0104,Animais vivos das espécies ovina e caprina,01/04/2022,31/12/9999,Res Camex,272,2021
010410,- Ovinos,01/04/2022,31/12/9999,Res Camex,272,2021
0104101,Reprodutores de raça pura,01/04/2022,31/12/9999,Res Camex,272,2021
01041011,Prenhes ou com cria ao pé,01/04/2022,31/12/9999,Res Camex,272,2021
01041019,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01041090,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
010420,- Caprinos,01/04/2022,31/12/9999,Res Camex,272,2021
01042010,Reprodutores de raça pura,01/04/2022,31/12/9999,Res Camex,272,2021
01042090,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0105,"Aves da espécie <i>Gallus domesticus</i>, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos",01/04/2022,31/12/9999,Res Camex,272,2021
01051,- De peso não superior a 185 g:,01/04/2022,31/12/9999,Res Camex,272,2021
010511,-- Aves da espécie <i>Gallus domesticus</i>,01/04/2022,31/12/9999,Res Camex,272,2021
01051110,"De linhas puras ou híbridas, para reprodução",01/04/2022,31/12/9999,Res Camex,272,2021
01051190,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01051200,-- Peruas e perus,01/04/2022,31/12/9999,Res Camex,272,2021
01051300,-- Patos,01/04/2022,31/12/9999,Res Camex,272,2021
01051400,-- Gansos,01/04/2022,31/12/9999,Res Camex,272,2021
01051500,-- Galinhas-d'angola (pintadas),01/04/2022,31/12/9999,Res Camex,272,2021
01059,- Outros:,01/04/2022,31/12/9999,Res Camex,272,2021
01059400,-- Aves da espécie <i>Gallus domesticus</i>,01/04/2022,31/12/9999,Res Camex,272,2021
01059900,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0106,Outros animais vivos,01/04/2022,31/12/9999,Res Camex,272,2021
01061,- Mamíferos:,01/04/2022,31/12/9999,Res Camex,272,2021
01061100,-- Primatas,01/04/2022,31/12/9999,Res Camex,272,2021
01061200,"-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)",01/04/2022,31/12/9999,Res Camex,272,2021
01061300,-- Camelos e outros camelídeos (<i>Camelidae</i>),01/04/2022,31/12/9999,Res Camex,272,2021
01061400,-- Coelhos e lebres,01/04/2022,31/12/9999,Res Camex,272,2021
01061900,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01062000,- Répteis (incluindo as serpentes e as tartarugas marinhas),01/04/2022,31/12/9999,Res Camex,272,2021
01063,- Aves:,01/04/2022,31/12/9999,Res Camex,272,2021
01063100,-- Aves de rapina,01/04/2022,31/12/9999,Res Camex,272,2021
01063200,"-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)",01/04/2022,31/12/9999,Res Camex,272,2021
010633,-- Avestruzes; emus (<i>Dromaius novaehollandiae</i>),01/04/2022,31/12/9999,Res Camex,272,2021
01063310,"Avestruzes (<i>Struthio camelus</i>), para reprodução",01/04/2022,31/12/9999,Res Camex,272,2021
01063390,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01063900,-- Outras,01/04/2022,31/12/9999,Res Camex,272,2021
01064,- Insetos:,01/04/2022,31/12/9999,Res Camex,272,2021
01064100,-- Abelhas,01/04/2022,31/12/9999,Res Camex,272,2021
01064900,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
01069000,- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
02,"Carnes e miudezas, comestíveis",01/04/2022,31/12/9999,Res Camex,272,2021
0201,"Carnes de animais da espécie bovina, frescas ou refrigeradas",01/04/2022,31/12/9999,Res Camex,272,2021
02011000,- Carcaças e meias-carcaças,01/04/2022,31/12/9999,Res Camex,272,2021
020120,- Outras peças não desossadas,01/04/2022,31/12/9999,Res Camex,272,2021
02012010,Quartos dianteiros,01/04/2022,31/12/9999,Res Camex,272,2021
02012020,Quartos traseiros,01/04/2022,31/12/9999,Res Camex,272,2021
02012090,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
02013000,- Desossadas,01/04/2022,31/12/9999,Res Camex,272,2021
0202,"Carnes de animais da espécie bovina, congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02021000,- Carcaças e meias-carcaças,01/04/2022,31/12/9999,Res Camex,272,2021
020220,- Outras peças não desossadas,01/04/2022,31/12/9999,Res Camex,272,2021
02022010,Quartos dianteiros,01/04/2022,31/12/9999,Res Camex,272,2021
02022020,Quartos traseiros,01/04/2022,31/12/9999,Res Camex,272,2021
02022090,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
02023000,- Desossadas,01/04/2022,31/12/9999,Res Camex,272,2021
0203,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02031,- Frescas ou refrigeradas:,01/04/2022,31/12/9999,Res Camex,272,2021
02031100,-- Carcaças e meias-carcaças,01/04/2022,31/12/9999,Res Camex,272,2021
02031200,"-- Pernas, pás e respectivos pedaços, não desossados",01/04/2022,31/12/9999,Res Camex,272,2021
02031900,-- Outras,01/04/2022,31/12/9999,Res Camex,272,2021
02032,- Congeladas:,01/04/2022,31/12/9999,Res Camex,272,2021
02032100,-- Carcaças e meias-carcaças,01/04/2022,31/12/9999,Res Camex,272,2021
02032200,"-- Pernas, pás e respectivos pedaços, não desossados",01/04/2022,31/12/9999,Res Camex,272,2021
02032900,-- Outras,01/04/2022,31/12/9999,Res Camex,272,2021
0204,"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02041000,"- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas",01/04/2022,31/12/9999,Res Camex,272,2021
02042,"- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:",01/04/2022,31/12/9999,Res Camex,272,2021
02042100,-- Carcaças e meias-carcaças,01/04/2022,31/12/9999,Res Camex,272,2021
02042200,-- Outras peças não desossadas,01/04/2022,31/12/9999,Res Camex,272,2021
02042300,-- Desossadas,01/04/2022,31/12/9999,Res Camex,272,2021
02043000,"- Carcaças e meias-carcaças de cordeiro, congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02044,"- Outras carnes de animais da espécie ovina, congeladas:",01/04/2022,31/12/9999,Res Camex,272,2021
02044100,-- Carcaças e meias-carcaças,01/04/2022,31/12/9999,Res Camex,272,2021
02044200,-- Outras peças não desossadas,01/04/2022,31/12/9999,Res Camex,272,2021
02044300,-- Desossadas,01/04/2022,31/12/9999,Res Camex,272,2021
02045000,- Carnes de animais da espécie caprina,01/04/2022,31/12/9999,Res Camex,272,2021
02050000,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
0206,"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
